"NMDS1"	"NMDS2"	"site"	"Serotype"	"Source"	"Geo"
"BOV_TYPH_WA_09_R9_3246"	-0.0604460335999985	-0.0105827361839731	"BOV_TYPH_WA_09_R9_3246"	"Typhimurium"	"Bovine"	"WA"
"BOV_TYPH_WA_09_R9_3247"	0.0500610841009512	0.235455494337726	"BOV_TYPH_WA_09_R9_3247"	"Typhimurium"	"Bovine"	"WA"
"HUM_NEWP_WA_12_R9_3267"	-0.0712734966420342	-0.0311662155646183	"HUM_NEWP_WA_12_R9_3267"	"Newport"	"Human"	"WA"
"BOV_DUBN_WA_09_R9_3239"	-0.0262359807029747	-0.0282346054694611	"BOV_DUBN_WA_09_R9_3239"	"Dublin"	"Bovine"	"WA"
"HUM_NEWP_NY_09_R8_4995"	-0.0712734966420341	-0.0311662155646184	"HUM_NEWP_NY_09_R8_4995"	"Newport"	"Human"	"NY"
"BOV_TYPH_WA_12_R9_3252"	0.286612981757151	-0.1497999876612	"BOV_TYPH_WA_12_R9_3252"	"Typhimurium"	"Bovine"	"WA"
"HUM_NEWP_NY_09_R8_4997"	-0.0386648645004238	-0.0384850080703874	"HUM_NEWP_NY_09_R8_4997"	"Newport"	"Human"	"NY"
"BOV_DUBN_WA_09_R9_3232"	-0.0252125672931955	-0.0721929077425046	"BOV_DUBN_WA_09_R9_3232"	"Dublin"	"Bovine"	"WA"
"BOV_TYPH_WA_11_R9_3251"	0.332880128586055	0.10801908342896	"BOV_TYPH_WA_11_R9_3251"	"Typhimurium"	"Bovine"	"WA"
"HUM_TYPH_NY_11_R8_8073"	0.156611030656274	0.103775260032595	"HUM_TYPH_NY_11_R8_8073"	"Typhimurium"	"Human"	"NY"
"HUM_TYPH_NY_08_R8_0784"	0.0780804374132399	-0.0764472292717867	"HUM_TYPH_NY_08_R8_0784"	"Typhimurium"	"Human"	"NY"
"BOV_NEWP_NY_08_R8_0830"	-0.0386648645004238	-0.0384850080703874	"BOV_NEWP_NY_08_R8_0830"	"Newport"	"Bovine"	"NY"
"BOV_NEWP_NY_10_R8_4821"	-0.0386648645004238	-0.0384850080703874	"BOV_NEWP_NY_10_R8_4821"	"Newport"	"Bovine"	"NY"
"BOV_TYPH_NY_08_R8_0865"	0.449603482556615	-0.0348142558418977	"BOV_TYPH_NY_08_R8_0865"	"Typhimurium"	"Bovine"	"NY"
"BOV_NEWP_NY_09_R8_4157"	-0.0386648645004238	-0.0384850080703874	"BOV_NEWP_NY_09_R8_4157"	"Newport"	"Bovine"	"NY"
"HUM_TYPH_WA_12_R9_3278"	0.0853318541123747	0.179001835089321	"HUM_TYPH_WA_12_R9_3278"	"Typhimurium"	"Human"	"WA"
