"NMDS1"	"NMDS2"	"site"	"Serotype"	"Source"	"Geo"
"BOV_TYPH_WA_09_R9_3246"	-0.08841004275204	-0.0171998273452982	"BOV_TYPH_WA_09_R9_3246"	"Typhimurium"	"Bovine"	"WA"
"BOV_TYPH_WA_09_R9_3247"	0.480465633259475	-0.014106343855371	"BOV_TYPH_WA_09_R9_3247"	"Typhimurium"	"Bovine"	"WA"
"HUM_NEWP_WA_12_R9_3267"	-0.0884104352627002	-0.0172058576196417	"HUM_NEWP_WA_12_R9_3267"	"Newport"	"Human"	"WA"
"BOV_DUBN_WA_09_R9_3239"	-0.0884107233546051	-0.017207244206684	"BOV_DUBN_WA_09_R9_3239"	"Dublin"	"Bovine"	"WA"
"HUM_NEWP_NY_09_R8_4995"	-0.0884112836991045	-0.0172057739435031	"HUM_NEWP_NY_09_R8_4995"	"Newport"	"Human"	"NY"
"BOV_TYPH_WA_12_R9_3252"	-0.635673763400901	0.0865155174032537	"BOV_TYPH_WA_12_R9_3252"	"Typhimurium"	"Bovine"	"WA"
"HUM_NEWP_NY_09_R8_4997"	-0.0884119206393074	-0.017210899366568	"HUM_NEWP_NY_09_R8_4997"	"Newport"	"Human"	"NY"
"BOV_DUBN_WA_09_R9_3232"	-0.305646801563162	-0.130564104478831	"BOV_DUBN_WA_09_R9_3232"	"Dublin"	"Bovine"	"WA"
"BOV_TYPH_WA_11_R9_3251"	0.611500866054957	0.600510868044939	"BOV_TYPH_WA_11_R9_3251"	"Typhimurium"	"Bovine"	"WA"
"HUM_TYPH_NY_11_R8_8073"	0.593569538070317	0.303345585096277	"HUM_TYPH_NY_11_R8_8073"	"Typhimurium"	"Human"	"NY"
"HUM_TYPH_NY_08_R8_0784"	-0.364996900491319	0.0216552857328819	"HUM_TYPH_NY_08_R8_0784"	"Typhimurium"	"Human"	"NY"
"BOV_NEWP_NY_08_R8_0830"	-0.0884105290045398	-0.0172046624899272	"BOV_NEWP_NY_08_R8_0830"	"Newport"	"Bovine"	"NY"
"BOV_NEWP_NY_10_R8_4821"	-0.0884112818772075	-0.0172029487586017	"BOV_NEWP_NY_10_R8_4821"	"Newport"	"Bovine"	"NY"
"BOV_TYPH_NY_08_R8_0865"	-0.555201782041401	0.537990103400015	"BOV_TYPH_NY_08_R8_0865"	"Typhimurium"	"Bovine"	"NY"
"BOV_NEWP_NY_09_R8_4157"	-0.0884116737721219	-0.0172046775411345	"BOV_NEWP_NY_09_R8_4157"	"Newport"	"Bovine"	"NY"
"HUM_TYPH_WA_12_R9_3278"	0.646682612683162	-0.104623026018339	"HUM_TYPH_WA_12_R9_3278"	"Typhimurium"	"Human"	"WA"
"HUM_TYPH_NY_11_R8_8081"	0.480465633259419	-0.014106343862073	"HUM_TYPH_NY_11_R8_8081"	"Typhimurium"	"Human"	"NY"
